Date,User_ID,Session_Duration,Page_Views,Source,Medium,Campaign,Device_Category,Country,New_User,Conversions,Revenue
2023-06-01,42,535,2,Direct,Organic Search,Spring Promo,Desktop,Australia,0,1,86
2023-06-01,43,402,3,Organic,Direct,Spring Promo,Desktop,UK,1,2,128
2023-06-02,44,251,5,Referral,Direct,Summer Sale,Tablet,Canada,0,1,64
2023-06-16,45,318,9,Direct,Direct,Winter Campaign,Desktop,Canada,0,1,77
2023-06-24,46,302,10,Social,Social Media,,Desktop,UK,0,2,284
2023-06-16,47,131,9,Organic,Referral,Winter Campaign,Desktop,France,1,0,0
2023-06-21,48,288,6,Organic,Referral,Spring Promo,Tablet,UK,0,3,267
2023-06-16,49,142,6,Organic,Organic Search,,Mobile,France,0,2,132
2023-06-03,50,322,1,Referral,Direct,Summer Sale,Desktop,Canada,0,0,0
2023-06-06,51,549,6,Social,Social Media,Summer Sale,Mobile,Canada,1,1,88
2023-06-02,52,109,6,Referral,Direct,Summer Sale,Mobile,Australia,0,3,336
2023-06-20,53,397,8,Direct,Direct,Summer Sale,Mobile,India,1,1,86
2023-06-24,54,568,6,Social,Direct,Summer Sale,Desktop,France,1,2,230
2023-06-18,55,326,9,Social,Organic Search,Winter Campaign,Mobile,USA,0,1,117
2023-06-10,56,531,4,Organic,Organic Search,Spring Promo,Mobile,Australia,1,3,396
2023-06-16,57,140,5,Social,Direct,Summer Sale,Desktop,USA,0,3,342
2023-06-24,58,474,5,Social,Social Media,Spring Promo,Mobile,USA,0,2,104
2023-06-29,59,272,5,Organic,Social Media,Winter Campaign,Desktop,Canada,1,3,234
2023-06-05,60,160,3,Social,Direct,Spring Promo,Mobile,UK,1,1,126
2023-06-04,61,94,4,Referral,Social Media,Winter Campaign,Tablet,Australia,0,2,150
2023-06-16,62,466,10,Direct,Referral,Summer Sale,Desktop,USA,0,0,0
2023-06-14,63,530,9,Social,Direct,,Desktop,Germany,0,0,0
2023-06-27,64,134,1,Organic,Direct,Summer Sale,Mobile,France,1,1,115
2023-06-28,65,108,2,Social,Referral,,Tablet,Australia,1,2,240
2023-06-26,66,137,4,Direct,Social Media,Winter Campaign,Desktop,UK,1,0,0
2023-06-15,67,501,7,Organic,Referral,Winter Campaign,Mobile,Germany,1,3,417
2023-06-22,68,416,5,Referral,Social Media,Spring Promo,Mobile,UK,0,3,366
2023-06-25,69,395,10,Social,Direct,Winter Campaign,Desktop,France,0,3,354
2023-06-09,70,588,6,Social,Referral,Spring Promo,Tablet,India,0,3,204
2023-06-29,71,457,9,Direct,Social Media,Spring Promo,Desktop,UK,0,3,213
2023-06-27,72,583,4,Organic,Social Media,Spring Promo,Desktop,Germany,0,0,0
2023-06-14,73,288,8,Social,Social Media,Spring Promo,Mobile,Germany,1,0,0
2023-06-01,74,546,6,Social,Referral,Winter Campaign,Mobile,France,0,3,411
2023-06-30,75,535,9,Referral,Direct,Winter Campaign,Mobile,India,0,2,170
2023-06-30,76,77,10,Referral,Referral,Winter Campaign,Mobile,Australia,0,3,396
2023-06-03,77,209,9,Social,Referral,Summer Sale,Mobile,France,1,2,212
2023-06-07,78,177,7,Direct,Direct,Winter Campaign,Desktop,UK,0,3,438
2023-06-20,79,257,3,Direct,Organic Search,Winter Campaign,Desktop,Australia,0,3,270
2023-06-01,80,179,6,Direct,Social Media,Winter Campaign,Tablet,Germany,1,2,152
2023-06-28,81,334,3,Referral,Direct,,Mobile,Germany,1,2,160
2023-06-07,82,503,5,Organic,Social Media,Winter Campaign,Mobile,USA,1,2,276
2023-06-24,83,388,1,Organic,Referral,Summer Sale,Mobile,USA,1,2,154
2023-06-09,84,517,6,Referral,Social Media,,Mobile,Australia,0,0,0
2023-06-17,85,389,10,Direct,Direct,Summer Sale,Mobile,France,1,0,0
2023-06-25,86,296,8,Organic,Referral,Winter Campaign,Desktop,UK,0,1,87
2023-06-27,87,435,7,Referral,Social Media,,Desktop,UK,1,3,393
2023-06-11,88,152,7,Social,Social Media,,Desktop,USA,1,1,85
2023-06-08,89,144,4,Referral,Organic Search,Summer Sale,Mobile,Australia,0,0,0
2023-06-06,90,252,5,Referral,Direct,Summer Sale,Tablet,Australia,1,1,82
2023-06-16,91,554,8,Social,Direct,Summer Sale,Desktop,France,0,0,0
2023-06-29,92,516,7,Organic,Social Media,,Desktop,Germany,1,2,188
2023-06-04,93,600,7,Organic,Direct,Spring Promo,Mobile,Australia,0,0,0
2023-06-20,94,356,6,Direct,Organic Search,Summer Sale,Desktop,Germany,1,3,441
2023-06-07,95,494,6,Organic,Organic Search,Winter Campaign,Desktop,Germany,1,3,186
2023-06-04,96,430,7,Referral,Organic Search,Winter Campaign,Desktop,Germany,1,1,133
2023-06-14,97,317,7,Organic,Referral,Summer Sale,Tablet,USA,1,0,0
2023-06-29,98,370,7,Direct,Direct,,Mobile,UK,1,1,96
2023-06-11,99,330,6,Social,Direct,Winter Campaign,Desktop,UK,1,1,115
2023-06-16,100,79,5,Organic,Organic Search,,Mobile,Canada,1,0,0
2023-06-08,101,93,4,Organic,Organic Search,Spring Promo,Mobile,UK,0,2,252
2023-06-14,102,454,8,Organic,Referral,Winter Campaign,Desktop,UK,0,0,0
2023-06-17,103,404,5,Organic,Organic Search,,Tablet,India,1,2,272
2023-06-17,104,188,6,Direct,Organic Search,Winter Campaign,Tablet,USA,1,0,0
2023-06-22,105,271,6,Direct,Referral,Summer Sale,Tablet,USA,0,2,174
2023-06-09,106,169,2,Referral,Direct,Winter Campaign,Mobile,France,0,2,202
2023-06-29,107,300,7,Organic,Direct,,Tablet,UK,0,0,0
2023-06-02,108,428,6,Referral,Social Media,,Tablet,Germany,0,0,0
2023-06-07,109,237,4,Social,Referral,Spring Promo,Mobile,UK,1,0,0
2023-06-23,110,488,8,Organic,Organic Search,Winter Campaign,Mobile,India,0,2,252
2023-06-24,111,212,9,Referral,Organic Search,Spring Promo,Desktop,USA,1,0,0
2023-06-24,112,343,3,Direct,Direct,Spring Promo,Tablet,Germany,0,0,0
2023-06-25,113,264,2,Referral,Direct,Winter Campaign,Tablet,USA,0,1,85
2023-06-12,114,497,3,Organic,Organic Search,Summer Sale,Desktop,India,1,1,85
2023-06-23,115,505,2,Organic,Direct,Winter Campaign,Desktop,Australia,0,1,134
2023-06-22,116,81,10,Organic,Social Media,Spring Promo,Desktop,India,1,0,0
2023-06-20,117,118,7,Social,Social Media,Winter Campaign,Tablet,India,1,0,0
2023-06-14,118,323,1,Social,Organic Search,Summer Sale,Desktop,Australia,1,3,303
2023-06-18,119,570,2,Organic,Referral,Summer Sale,Desktop,Canada,0,2,296
2023-06-28,120,485,2,Direct,Referral,Winter Campaign,Mobile,India,0,3,255
2023-06-29,121,561,4,Social,Direct,,Mobile,France,0,2,254
2023-06-17,122,524,7,Organic,Direct,Summer Sale,Mobile,France,1,2,298
2023-06-17,123,221,1,Direct,Social Media,Winter Campaign,Mobile,Germany,1,2,240
2023-06-16,124,274,2,Referral,Referral,,Tablet,USA,0,1,127
2023-06-27,125,287,2,Organic,Organic Search,,Desktop,USA,1,0,0
2023-06-18,126,174,6,Referral,Referral,Summer Sale,Tablet,France,0,3,450
2023-06-05,127,110,5,Direct,Referral,,Desktop,Canada,1,0,0
2023-06-29,128,139,2,Direct,Organic Search,Winter Campaign,Desktop,Germany,1,3,192
2023-06-16,129,465,1,Social,Organic Search,Spring Promo,Desktop,France,1,1,117
2023-06-14,130,569,6,Direct,Referral,Spring Promo,Tablet,France,1,0,0
2023-06-10,131,540,7,Referral,Organic Search,Winter Campaign,Mobile,Australia,1,1,109
2023-06-25,132,264,8,Referral,Referral,,Desktop,France,0,0,0
2023-06-09,133,585,8,Direct,Social Media,Winter Campaign,Mobile,France,0,0,0
2023-06-07,134,127,9,Organic,Organic Search,Summer Sale,Mobile,Canada,0,3,447
2023-06-12,135,276,4,Direct,Social Media,,Desktop,India,1,2,242
2023-06-04,136,217,5,Direct,Social Media,Spring Promo,Mobile,Canada,1,0,0
2023-06-07,137,284,2,Organic,Direct,Summer Sale,Mobile,Germany,0,0,0
2023-06-13,138,519,6,Direct,Organic Search,Spring Promo,Tablet,UK,0,3,249
2023-06-13,139,298,1,Social,Social Media,,Mobile,France,1,1,140
2023-06-10,140,111,6,Direct,Direct,Winter Campaign,Tablet,India,1,0,0
2023-06-05,141,235,10,Organic,Referral,,Desktop,Canada,0,0,0
2023-06-29,142,335,7,Referral,Direct,,Desktop,France,0,3,282
2023-06-15,143,303,7,Social,Referral,Spring Promo,Desktop,Canada,1,2,212
2023-06-25,144,375,1,Organic,Social Media,,Tablet,Canada,0,0,0
2023-06-11,145,444,7,Organic,Social Media,Winter Campaign,Desktop,USA,0,0,0
2023-06-28,146,554,4,Direct,Social Media,Summer Sale,Desktop,India,0,3,192
2023-06-13,147,79,8,Direct,Social Media,Winter Campaign,Desktop,France,0,2,260
2023-06-20,148,560,5,Direct,Organic Search,,Mobile,Australia,1,3,318
2023-06-19,149,264,1,Social,Social Media,Summer Sale,Mobile,Canada,1,0,0
2023-06-07,150,443,1,Social,Organic Search,Spring Promo,Desktop,UK,0,1,146
2023-06-24,151,526,2,Direct,Social Media,Spring Promo,Mobile,France,0,2,170
2023-06-27,152,141,9,Organic,Referral,,Mobile,France,0,2,268
2023-06-06,153,290,3,Referral,Social Media,Summer Sale,Desktop,USA,1,2,170
2023-06-25,154,381,9,Referral,Direct,,Tablet,Australia,0,2,228
2023-06-08,155,169,7,Direct,Direct,Spring Promo,Tablet,Canada,1,0,0
2023-06-13,156,214,8,Social,Organic Search,,Tablet,UK,0,1,145
2023-06-19,157,143,3,Direct,Direct,Summer Sale,Tablet,France,1,1,142
2023-06-24,158,147,2,Organic,Organic Search,Summer Sale,Tablet,Australia,1,0,0
2023-06-06,159,210,2,Direct,Social Media,Spring Promo,Tablet,France,0,2,190
2023-06-20,160,353,7,Direct,Direct,Summer Sale,Mobile,India,0,0,0
2023-06-13,161,238,2,Referral,Direct,Summer Sale,Desktop,Australia,0,0,0
2023-06-10,162,247,10,Social,Referral,Summer Sale,Mobile,France,0,0,0
2023-06-06,163,522,4,Referral,Organic Search,Summer Sale,Tablet,UK,0,0,0
2023-06-26,164,541,4,Direct,Social Media,Spring Promo,Mobile,India,0,0,0
2023-06-03,165,374,1,Social,Referral,Winter Campaign,Desktop,Germany,0,0,0
2023-06-01,166,334,5,Social,Direct,Summer Sale,Mobile,USA,0,2,174
2023-06-26,167,560,6,Organic,Direct,Spring Promo,Tablet,USA,0,2,170
2023-06-03,168,249,7,Referral,Organic Search,Summer Sale,Desktop,France,0,2,112
2023-06-24,169,519,1,Referral,Direct,Winter Campaign,Mobile,USA,0,2,128
2023-06-26,170,140,2,Referral,Referral,Winter Campaign,Desktop,India,0,2,240
2023-06-16,171,245,5,Social,Organic Search,Summer Sale,Desktop,India,0,0,0
2023-06-05,172,139,2,Social,Social Media,,Tablet,Australia,0,3,270
2023-06-26,173,149,7,Social,Organic Search,Summer Sale,Mobile,India,0,1,79
2023-06-04,174,236,3,Referral,Organic Search,Spring Promo,Tablet,UK,1,3,303
2023-06-20,175,417,10,Social,Direct,Spring Promo,Desktop,USA,1,1,88
2023-06-10,176,505,1,Organic,Referral,Summer Sale,Mobile,Canada,0,1,149
2023-06-24,177,498,1,Organic,Social Media,Spring Promo,Desktop,India,1,3,252
2023-06-29,178,248,5,Direct,Referral,Spring Promo,Mobile,India,1,1,105
2023-06-15,179,171,3,Social,Referral,Summer Sale,Mobile,India,0,0,0
2023-06-08,180,473,3,Direct,Organic Search,Summer Sale,Mobile,India,1,3,333
2023-06-23,181,371,8,Organic,Social Media,Winter Campaign,Mobile,Australia,1,0,0
2023-06-12,182,360,4,Direct,Organic Search,Summer Sale,Tablet,France,0,1,119
2023-06-02,183,128,6,Social,Direct,Spring Promo,Mobile,Germany,1,1,70
2023-06-13,184,100,8,Referral,Referral,Winter Campaign,Tablet,USA,0,0,0
2023-06-16,185,265,8,Referral,Social Media,Spring Promo,Tablet,France,0,0,0
2023-06-22,186,448,9,Referral,Social Media,Spring Promo,Desktop,Canada,0,0,0
2023-06-07,187,506,5,Direct,Referral,Spring Promo,Desktop,USA,0,3,324
2023-06-17,188,577,9,Social,Direct,Spring Promo,Mobile,Australia,1,0,0
2023-06-07,189,301,2,Social,Organic Search,Spring Promo,Tablet,Germany,1,3,390
2023-06-01,190,542,1,Social,Social Media,Summer Sale,Desktop,France,1,2,254
2023-06-09,191,355,2,Referral,Organic Search,,Tablet,Australia,1,3,288
2023-06-21,192,198,2,Social,Referral,Spring Promo,Mobile,USA,1,2,192
2023-06-13,193,281,6,Social,Referral,Winter Campaign,Mobile,India,0,0,0
2023-06-16,194,525,1,Direct,Organic Search,Summer Sale,Mobile,Canada,1,2,256
2023-06-16,195,351,3,Organic,Social Media,,Tablet,India,0,2,242
2023-06-08,196,191,2,Organic,Referral,Summer Sale,Mobile,India,1,2,232
2023-06-18,197,289,4,Organic,Organic Search,Winter Campaign,Desktop,India,0,2,244
2023-06-23,198,322,10,Direct,Referral,Summer Sale,Desktop,UK,1,3,312
2023-06-04,199,142,5,Referral,Organic Search,,Tablet,France,1,0,0
2023-06-24,200,323,3,Referral,Organic Search,Summer Sale,Desktop,Canada,0,3,450
2023-06-04,201,426,1,Organic,Organic Search,Summer Sale,Tablet,France,1,3,282
2023-06-16,202,81,8,Referral,Direct,Summer Sale,Mobile,Canada,0,2,150
2023-06-12,203,152,1,Organic,Direct,Summer Sale,Desktop,France,1,2,270
2023-06-30,204,583,3,Referral,Social Media,Summer Sale,Tablet,Australia,0,1,50
2023-06-15,205,350,3,Referral,Direct,,Tablet,Australia,1,2,208
2023-06-19,206,518,3,Organic,Social Media,Winter Campaign,Mobile,France,0,1,90
2023-06-11,207,462,7,Social,Organic Search,Winter Campaign,Tablet,India,1,0,0
2023-06-08,208,73,1,Direct,Social Media,Winter Campaign,Mobile,USA,0,3,369
2023-06-29,209,527,1,Social,Referral,Summer Sale,Mobile,Canada,1,3,228
2023-06-04,210,378,3,Direct,Direct,Winter Campaign,Mobile,Canada,1,0,0
2023-06-10,211,298,5,Organic,Direct,Spring Promo,Tablet,Canada,1,0,0
2023-06-29,212,432,8,Referral,Social Media,Spring Promo,Desktop,USA,1,0,0
2023-06-08,213,117,9,Organic,Direct,,Tablet,India,1,3,159
2023-06-24,214,274,8,Direct,Direct,Winter Campaign,Tablet,India,1,2,150
2023-06-12,215,285,8,Direct,Organic Search,,Tablet,UK,0,3,408
2023-06-13,216,279,7,Social,Referral,Spring Promo,Tablet,Germany,0,1,85
2023-06-30,217,470,6,Social,Referral,,Desktop,France,0,2,280
2023-06-30,218,175,5,Organic,Organic Search,Winter Campaign,Tablet,USA,1,3,207
2023-06-07,219,452,2,Social,Direct,,Mobile,France,0,0,0
2023-06-11,220,91,8,Organic,Referral,,Desktop,UK,1,2,134
2023-06-10,221,76,6,Direct,Organic Search,Summer Sale,Desktop,India,0,3,285
2023-06-11,222,288,3,Direct,Direct,Spring Promo,Mobile,India,0,3,177
2023-06-08,223,554,1,Direct,Social Media,Spring Promo,Tablet,Canada,1,1,54
2023-06-13,224,80,10,Direct,Social Media,Winter Campaign,Tablet,France,1,3,387
2023-06-18,225,260,1,Direct,Referral,Summer Sale,Mobile,USA,0,3,342
2023-06-30,226,468,4,Referral,Direct,Summer Sale,Tablet,USA,1,2,198
2023-06-06,227,355,8,Social,Direct,,Mobile,Germany,0,0,0
2023-06-12,228,182,3,Direct,Referral,Spring Promo,Tablet,Australia,1,0,0
2023-06-04,229,590,7,Organic,Organic Search,Spring Promo,Mobile,France,1,3,393
2023-06-10,230,129,4,Organic,Organic Search,Summer Sale,Desktop,Canada,0,2,168
2023-06-10,231,173,7,Direct,Social Media,Spring Promo,Desktop,Australia,1,1,133
2023-06-25,232,493,2,Direct,Referral,Summer Sale,Desktop,France,0,1,122
2023-06-30,233,463,6,Referral,Referral,Summer Sale,Mobile,UK,0,1,90
2023-06-28,234,492,2,Organic,Organic Search,Summer Sale,Mobile,UK,0,2,144
2023-06-22,235,540,3,Direct,Organic Search,Spring Promo,Tablet,Australia,1,2,200
2023-06-04,236,491,5,Direct,Direct,Spring Promo,Mobile,Australia,1,1,59
2023-06-17,237,341,5,Organic,Referral,Spring Promo,Desktop,Germany,0,1,114
2023-06-26,238,259,8,Social,Social Media,Spring Promo,Desktop,USA,0,3,333
2023-06-05,239,350,1,Social,Referral,Summer Sale,Tablet,France,0,0,0
2023-06-15,240,211,9,Referral,Direct,Winter Campaign,Desktop,Germany,0,3,276
2023-06-23,241,298,4,Referral,Direct,Winter Campaign,Mobile,UK,1,1,104
2023-06-22,242,369,7,Organic,Referral,Winter Campaign,Mobile,France,1,2,130
2023-06-09,243,428,7,Organic,Referral,Summer Sale,Tablet,Australia,1,3,219
2023-06-30,244,502,4,Social,Referral,Summer Sale,Desktop,UK,0,0,0
2023-06-15,245,434,2,Social,Organic Search,Winter Campaign,Mobile,Australia,0,0,0
2023-06-26,246,246,4,Direct,Social Media,,Desktop,UK,1,0,0
2023-06-30,247,243,1,Organic,Referral,Winter Campaign,Desktop,Germany,0,1,149
2023-06-11,248,505,1,Direct,Organic Search,,Tablet,Australia,0,3,354
2023-06-01,249,312,7,Organic,Referral,Winter Campaign,Mobile,France,0,0,0
2023-06-26,250,327,10,Direct,Referral,Spring Promo,Mobile,France,0,2,286
2023-06-08,251,516,9,Social,Organic Search,Spring Promo,Desktop,USA,0,3,228
2023-06-17,252,451,1,Social,Social Media,Summer Sale,Tablet,USA,0,2,236
2023-06-24,253,399,7,Direct,Referral,Winter Campaign,Tablet,Germany,0,0,0
2023-06-10,254,180,6,Referral,Social Media,Spring Promo,Tablet,Canada,0,3,372
2023-06-03,255,379,7,Organic,Social Media,Spring Promo,Mobile,France,1,2,176
2023-06-21,256,214,4,Organic,Social Media,Summer Sale,Mobile,USA,0,1,89
2023-06-21,257,371,5,Organic,Direct,Winter Campaign,Mobile,Canada,0,3,156
2023-06-28,258,477,10,Social,Direct,,Mobile,Australia,0,3,213
2023-06-01,259,74,6,Referral,Referral,Winter Campaign,Tablet,France,1,3,345
2023-06-16,260,257,10,Referral,Referral,Summer Sale,Tablet,USA,1,3,369
2023-06-03,261,276,6,Direct,Direct,Winter Campaign,Desktop,Australia,0,1,133
2023-06-08,262,251,9,Organic,Organic Search,Winter Campaign,Mobile,Australia,1,1,145
2023-06-12,263,96,9,Direct,Referral,Summer Sale,Tablet,USA,0,1,100
2023-06-01,264,75,7,Referral,Referral,Summer Sale,Tablet,UK,0,0,0
2023-06-02,265,522,8,Social,Social Media,Spring Promo,Desktop,UK,0,0,0
2023-06-10,266,281,3,Social,Organic Search,,Desktop,Canada,1,1,116
2023-06-15,267,482,3,Social,Direct,Summer Sale,Mobile,France,1,3,375
2023-06-05,268,252,4,Direct,Social Media,Winter Campaign,Desktop,USA,1,1,78
2023-06-29,269,532,4,Direct,Social Media,Spring Promo,Mobile,USA,0,0,0
2023-06-05,270,545,10,Social,Referral,,Mobile,France,0,2,156
2023-06-15,271,476,2,Social,Direct,Winter Campaign,Tablet,France,0,3,252
2023-06-13,272,314,8,Social,Social Media,Winter Campaign,Tablet,USA,1,0,0
2023-06-22,273,320,7,Direct,Social Media,Summer Sale,Mobile,France,0,0,0
2023-06-29,274,60,3,Referral,Referral,Spring Promo,Tablet,UK,0,0,0
2023-06-10,275,576,9,Organic,Social Media,Summer Sale,Desktop,India,1,2,106
2023-06-03,276,521,4,Direct,Referral,,Desktop,Germany,0,2,204
2023-06-16,277,456,9,Direct,Referral,Summer Sale,Desktop,Canada,0,2,252
2023-06-30,278,202,5,Direct,Direct,Winter Campaign,Desktop,India,1,3,399
2023-06-05,279,60,4,Direct,Organic Search,Winter Campaign,Tablet,Canada,1,2,228
2023-06-09,280,132,10,Referral,Direct,Spring Promo,Desktop,Germany,0,0,0
2023-06-17,281,389,1,Social,Referral,,Mobile,France,1,0,0
2023-06-22,282,548,3,Social,Organic Search,Summer Sale,Mobile,USA,0,1,128
2023-06-21,283,225,5,Referral,Direct,Spring Promo,Tablet,India,0,2,240
2023-06-01,284,397,9,Organic,Social Media,Summer Sale,Mobile,Australia,0,1,106
2023-06-25,285,189,7,Social,Organic Search,Spring Promo,Mobile,India,0,3,423
2023-06-29,286,292,7,Direct,Referral,Spring Promo,Desktop,Australia,0,0,0
2023-06-14,287,63,3,Social,Direct,,Desktop,France,0,3,387
2023-06-02,288,332,3,Direct,Organic Search,Summer Sale,Mobile,Germany,0,3,252
2023-06-28,289,175,10,Direct,Social Media,Summer Sale,Desktop,UK,0,0,0
2023-06-05,290,240,9,Referral,Referral,Summer Sale,Mobile,India,0,2,118
2023-06-13,291,118,1,Referral,Organic Search,Winter Campaign,Mobile,Canada,1,3,162
2023-06-02,292,304,7,Direct,Organic Search,Winter Campaign,Desktop,India,1,1,82
2023-06-13,293,172,9,Social,Organic Search,,Mobile,India,1,3,426
2023-06-28,294,388,3,Organic,Direct,Spring Promo,Desktop,France,1,0,0
2023-06-22,295,581,6,Social,Organic Search,,Mobile,Germany,1,2,210
2023-06-26,296,420,4,Direct,Direct,,Mobile,UK,1,1,134
2023-06-18,297,61,5,Direct,Social Media,Summer Sale,Desktop,Germany,0,1,87
2023-06-09,298,452,8,Referral,Direct,Summer Sale,Mobile,Canada,1,1,90
2023-06-20,299,455,1,Social,Social Media,Winter Campaign,Mobile,France,1,3,360
2023-06-16,300,64,5,Organic,Direct,,Mobile,Canada,1,1,116
2023-06-03,301,168,10,Social,Referral,,Tablet,Germany,1,3,297
2023-06-11,302,495,5,Social,Social Media,,Desktop,Canada,0,1,76
2023-06-21,303,496,3,Organic,Organic Search,Winter Campaign,Mobile,France,1,0,0
2023-06-10,304,210,4,Social,Referral,Winter Campaign,Desktop,India,0,0,0
2023-06-12,305,524,1,Referral,Direct,Spring Promo,Mobile,Germany,0,1,87
2023-06-18,306,114,6,Direct,Referral,Summer Sale,Mobile,USA,1,0,0
2023-06-22,307,557,9,Social,Organic Search,Winter Campaign,Tablet,Australia,1,1,77
2023-06-09,308,201,7,Referral,Social Media,Spring Promo,Mobile,USA,0,3,198
2023-06-03,309,236,7,Organic,Organic Search,Spring Promo,Tablet,India,0,2,126
2023-06-10,310,588,6,Organic,Direct,Spring Promo,Desktop,Germany,0,2,256
2023-06-05,311,411,10,Social,Organic Search,,Tablet,France,1,1,66
2023-06-12,312,337,8,Organic,Social Media,Spring Promo,Mobile,Australia,1,2,274
2023-06-19,313,266,9,Direct,Referral,Spring Promo,Tablet,Germany,1,3,333
2023-06-03,314,63,10,Social,Organic Search,,Tablet,Germany,1,0,0
2023-06-24,315,134,2,Social,Organic Search,,Desktop,UK,1,1,111
2023-06-03,316,555,7,Organic,Direct,,Mobile,France,0,2,196
2023-06-19,317,69,7,Referral,Organic Search,Winter Campaign,Desktop,UK,0,2,224
2023-06-11,318,166,1,Referral,Referral,Summer Sale,Desktop,Australia,1,3,309
2023-06-04,319,186,10,Referral,Referral,,Tablet,Canada,0,0,0
2023-06-15,320,453,7,Direct,Direct,Winter Campaign,Mobile,UK,1,2,118
2023-06-02,321,255,3,Social,Direct,Summer Sale,Mobile,Australia,0,3,279
2023-06-15,322,486,4,Social,Social Media,Winter Campaign,Mobile,USA,0,3,309
2023-06-09,323,536,8,Social,Referral,Spring Promo,Desktop,UK,0,3,450
2023-06-12,324,511,7,Referral,Referral,Spring Promo,Mobile,Canada,0,2,276
2023-06-28,325,497,7,Referral,Referral,Winter Campaign,Tablet,France,1,3,402
2023-06-28,326,136,9,Social,Social Media,,Mobile,Germany,0,2,180
2023-06-02,327,308,3,Referral,Direct,,Mobile,Germany,0,3,435
2023-06-06,328,343,10,Social,Organic Search,,Tablet,Germany,0,0,0
2023-06-18,329,357,7,Organic,Referral,Spring Promo,Desktop,Germany,0,1,100
2023-06-24,330,151,2,Direct,Social Media,,Mobile,UK,1,1,84
2023-06-18,331,456,2,Referral,Direct,Winter Campaign,Mobile,USA,0,3,156
2023-06-06,332,511,5,Organic,Direct,Winter Campaign,Mobile,Canada,1,1,61
2023-06-27,333,303,9,Organic,Social Media,,Mobile,India,1,2,222
2023-06-26,334,247,1,Social,Social Media,Summer Sale,Mobile,Australia,0,1,73
